"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"http://www.finishmaster.com","024 Fox Valley, WI","2120 W. Nordale Dr","Appleton","WI","54914","US","<MISSING>","920-757-6233","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","44.290189","-88.487942","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","025 Green Bay, WI","740 Industry Court","Green Bay","WI","54304","US","<MISSING>","920-496-0400","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","44.475702","-88.067253","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","026 Indianapolis, IN","2726 Rand Road","Indianapolis","IN","46241","US","<MISSING>","317-634-2466","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","39.725537","-86.252153","Mon-Fri: 7:00am - 4:00pm Sat: Closed"
"http://www.finishmaster.com","027 Lafayette, IN","2045 Greenbush","Lafayette","IN","47904","US","<MISSING>","765-742-8426","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","40.432102","-86.873491","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","029 Gaithersburg, MD","7909 G Cessna Ave.","Gaithersburg","MD","20879","US","<MISSING>","301-253-0400","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","39.172076","-77.161371","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","030 Lanham, MD","4611 Assembly Drive  Suite G","Lanham","MD","20706","US","<MISSING>","301-474-3200","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","38.9530681","-76.8308726","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","035 Calumet City, IL","1480 Huntington Ave","Calumet City","IL","60409","US","<MISSING>","708-331-0040","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","41.595839","-87.628778","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","036 Wheeling, IL","747 Glenn Ave","Wheeling","IL","60090","US","<MISSING>","847-949-1995","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","42.1257779","-87.9184205","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","040 Cincinnati, OH","10440 Chester Road","Woodlawn","OH","45215","US","<MISSING>","513-771-0368","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","39.257658","-84.455031","Mon-Fri: 7:30am - 4:30pm Sat: Closed"
"http://www.finishmaster.com","042 Brook Park, OH","5289 W. 137th Street, Unit 6","Brook Park","OH","44142","US","<MISSING>","216-267-4073","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","41.415891","-81.787374","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","043 Louisville, KY","4350 Robards Lane, Suite B","Louisville","KY","40218","US","<MISSING>","502-458-9002","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","38.191959","-85.692687","Mon-Fri: 10:00am - 3:00pm Sat: Closed"
"http://www.finishmaster.com","046 Norristown, PA","320 W. Main","Norristown","PA","19401","US","<MISSING>","610-277-1411","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","40.116745","-75.34932","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","047 Springfield, PA","318 W. Baltimore Pike","Springfield","PA","19064","US","<MISSING>","610-544-7770","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","39.9221","-75.319331","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","051 Denville, NJ","321 Palmer Rd","Denville","NJ","07834","US","<MISSING>","973-361-4020","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","40.879439","-74.519119","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","052 Hamilton, NJ","5B Marlen Dr.Hamilton Business Center","Hamilton","NJ","08691","US","<MISSING>","609-883-6200","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","40.2053961","-74.6300545","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","054 Newark, NJ","145 Frelinghuysen Ave.","Newark","NJ","07114","US","<MISSING>","973-824-4646","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","40.716763","-74.186782","Mon-Fri: 8:00am - 5:00pm Sat: 9:00am - 12:00pm"
"http://www.finishmaster.com","058 Jersey City, NJ","700 Garfield Avenue","Jersey City","NJ","07305","US","<MISSING>","201-435-1555","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","40.703826","-74.075505","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","059 S. Toms River, NJ","99 Flint Road","S. Toms River","NJ","08757","US","<MISSING>","732-473-0094","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","39.942966","-74.19421","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","061 Arlington, TX","2900 East Pioneer Parkway, Suite 190","Arlington","TX","76010","US","<MISSING>","817-277-4711","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","32.735508","-97.093835","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","062 W. Ft. Worth, TX","3700 Williams","Ft. Worth","TX","76116","US","<MISSING>","817-560-2300","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","32.718575","-97.452325","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","066 Garland, TX","2150 S. Jupiter Rd.","Garland","TX","75041","US","<MISSING>","972-271-1100","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","32.8919826","-96.6829438","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","068 Lubbock, TX","4718 Ave. Q","Lubbock","TX","79412","US","<MISSING>","806-763-5347","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","33.594873","-101.855431","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","071 Houston, TX","8724 Westpark Drive","Houston","TX","77063","US","<MISSING>","713-782-8873","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","29.721691","-95.517333","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","073 Amarillo, TX","120 NE 2nd Ave.","Amarillo","TX","79107","US","<MISSING>","806-374-4646","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","35.214911","-101.835318","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","074 Pasadena, TX","406 Preston Road","Pasadena","TX","77503","US","<MISSING>","713-477-0219","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","29.705588","-95.171439","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","075 Midland, TX","2308 W. Front","Midland","TX","79701","US","<MISSING>","432-687-1531","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","31.985239","-102.094987","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","076 Odessa, TX","505 N. Dixie Blvd.","Odessa","TX","79761","US","<MISSING>","432-337-2468","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","31.854322","-102.358285","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","077 Broken Arrow, OK","2013 N. Willow Ave.","Broken Arrow","OK","74012","US","<MISSING>","918-250-2676","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","36.071136","-95.83872","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","082 Worcester, MA","462 Pleasant St.","Worcester","MA","01609","US","<MISSING>","508-752-5626","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","42.26332","-71.817747","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","085 Fall River, MA","196 Bedford St.","Fall River","MA","02720","US","<MISSING>","508-678-5238","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","41.701273","-71.15183","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","087 Norwalk, CT","17 Broad St.","Norwalk","CT","06851","US","<MISSING>","203-847-2427","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","41.131013","-73.426397","Mon-Fri: 8:00am - 5:00pm Sat: 8:00am - 12:00pm"
"http://www.finishmaster.com","092 Boston, MA","199 Norfolk Ave","Boston","MA","02119","US","<MISSING>","617-445-5800","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","42.324333","-71.069313","Mon-Fri: 8:00am - 4:30pm Sat: Closed"
"http://www.finishmaster.com","105 Hialeah, FL","1090 East 14th St.","Hialeah","FL","33010","US","<MISSING>","305-887-0255","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","25.835376","-80.260192","Mon-Fri: 8:00am - 5:00pm Sat: 8:00am - 12:00pm"
"http://www.finishmaster.com","108 Sarasota, FL","2031 13th Street","Sarasota","FL","34237","US","<MISSING>","941-365-1888","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","27.349486","-82.529639","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","110 Venice, FL","851 US Hwy 41 Bypass South","Venice","FL","34285","US","<MISSING>","941-485-9100","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","27.10759","-82.439447","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","111 Gainesville, FL","1814 NE 23rd Avenue","Gainesville","FL","32609","US","<MISSING>","352-376-3302","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","29.673815","-82.302037","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","112 Jax-Beach, FL","9800 Beach Blvd.","Jacksonville","FL","32246","US","<MISSING>","904-642-0902","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","30.286481","-81.555918","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","114 Jax-Cassat, FL","1927 Cassat Avenue","Jacksonville","FL","32210","US","<MISSING>","904-389-3517","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","30.283408","-81.730375","Mon-Fri: 8:00am - 5:00pm Sat: 9:00am - 12:00pm"
"http://www.finishmaster.com","115 Brunswick, GA","5035 Blythe Island Highway","Brunswick","GA","31525","US","<MISSING>","912-261-2020","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","31.203776","-81.509823","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","116 St. Augustine, FL","1711 Lakeside Ave.","St. Augustine","FL","32084","US","<MISSING>","904-810-5405","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","29.867968","-81.330915","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","117 Orlando, FL","1407 West Central Blvd.","Orlando","FL","32805","US","<MISSING>","407-841-8220","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","28.54199","-81.399486","Mon-Fri: 7:30am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","119 Daytona Beach, FL","825 Mason Avenue","Daytona Beach","FL","32119","US","<MISSING>","386-254-2923","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","29.221626","-81.042043","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","122 Cocoa, FL","809 N. Cocoa Blvd.","Cocoa","FL","32922","US","<MISSING>","321-636-2620","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","28.365926","-80.735688","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","128 Largo, FL","6460 126TH Ave. N","Largo","FL","33771","US","<MISSING>","727-531-7701","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","27.88645","-82.724365","Mon-Fri: 7:30am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","129 Tampa, FL","5408 East Broadway Avenue","Tampa","FL","33619","US","<MISSING>","813-621-5597","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","27.964267","-82.394536","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","130 New Port Richey, FL","6716 US Hwy 19 North","New Port Richey","FL","34652","US","<MISSING>","727-842-4931","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","28.255179","-82.7277","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","131 Lakeland, FL","1025 E. Oleander St.","Lakeland","FL","33801","US","<MISSING>","863-668-9119","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","28.0465949","-81.9428086","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","135 Tallahassee, FL","160-3 Blountstown","Tallahassee","FL","32304","US","<MISSING>","850-575-2939","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","30.464006","-84.346354","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","136 Ft. Walton Beach, FL","826-A Denton Blvd.","Ft. Walton Beach","FL","32547","US","<MISSING>","850-243-6129","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","30.448172","-86.623781","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","140 Greenville, SC","1116 Cedar Lane Rd.","Greenville","SC","29617","US","<MISSING>","864-371-1330","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","34.872308","-82.436841","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","141 Charleston, SC","7275 Cross County Rd., Suite A","North Charleston","SC","29418","US","<MISSING>","843-760-9077","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","32.924068","-80.067372","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","143 Spartanburg, SC","7098 Howard St","Spartanburg","SC","29303","US","<MISSING>","864-585-0249","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","34.980148","-81.973349","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","147 Columbia, SC","220 ONeil Court","Columbia","SC","29223","US","<MISSING>","803-252-3353","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","34.069103","-80.955894","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","149 Florence, SC","210 North Irby St.","Florence","SC","29501","US","<MISSING>","843-678-4040","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","34.199361","-79.768326","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","151 Statesville, NC","434 S. Center St.","Statesville","NC","28677","US","<MISSING>","704-871-9055","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","35.780759","-80.886323","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","152 Winston-Salem, NC","104 Progress Court, Suite 30","Winston-Salem","NC","27106","US","<MISSING>","336-725-5313","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","36.151222","-80.265739","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","153 Charlotte, NC","2732 B Interstate St.","Charlotte","NC","28208","US","<MISSING>","704-522-7161","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","35.238373","-80.909736","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","154 Greensboro, NC","305 Concord St.","Greensboro","NC","27406","US","<MISSING>","336-272-5900","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","36.043323","-79.797008","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","155 Durham, NC","2415 Presidential Drive","Durham","NC","27703","US","<MISSING>","919-787-9923","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","35.9253195","-78.8415533","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","156 Roanoke, VA","1930 Salem Ave.","Roanoke","VA","24016","US","<MISSING>","540-344-7778","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","37.276399","-79.972245","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","157 Vero Beach, FL","1793 Old Dixie Hwy","Vero Beach","FL","32960","US","<MISSING>","772-569-3226","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","27.634608","-80.397815","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","158 Ft. Pierce, FL","1200 Bell Ave.","Fort Pierce","FL","34982","US","<MISSING>","772-465-4031","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","27.396542","-80.339392","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","159 Delray Beach, FL","145 S. Congress Ave.","Delray Beach","FL","33445","US","<MISSING>","561-265-0104","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","26.449236","-80.067909","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","161 Miami, FL","10430 SW 187th St.","Miami","FL","33157","US","<MISSING>","305-238-4910","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","25.593688","-80.36101","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","162 Pompano Beach, FL","427 N. Dixie Hwy","Pompano Beach","FL","33060","US","<MISSING>","954-781-7010","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","26.236282","-80.124865","Mon-Fri: 8:00am - 5:00pm Sat: 9:00am - 12:00pm"
"http://www.finishmaster.com","165 Dania Beach, FL","2363 Stirling Road","Dania Beach","FL","33312","US","<MISSING>","954-965-3601","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","26.047727","-80.171988","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","168 West Palm Beach, FL","1938 Church Street","W. Palm Beach","FL","33409","US","<MISSING>","561-684-4666","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","26.705394","-80.08236","Mon-Fri: 8:00am - 5:00pm Sat: 9:00am - 12:00pm"
"http://www.finishmaster.com","169 Ft. Myers, FL","3919 Fowler St.","Ft. Myers","FL","33901","US","<MISSING>","239-939-1747","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","26.605885","-81.861753","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","176 Norfolk, VA","911 Live Oak Dr.","Chesapeake","VA","23320","US","<MISSING>","757-275-8255","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","36.85987","-76.242149","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","178 Anderson, SC","514 Pearman Dairy Rd.","Anderson","SC","29625","US","<MISSING>","864-226-1134","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","34.513292","-82.689029","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","181 Richmond, VA","3317 W. Broad St","Richmond","VA","23230","US","<MISSING>","804-359-1318","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","37.567447","-77.476535","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","183 Conway, SC","1909 Highway 378","Conway","SC","29527","US","<MISSING>","843-248-2506","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","33.844863","-79.075856","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","185 Glen Burnie, MD","180 Penrod Court, Suite C","Glen Burnie","MD","21061","US","<MISSING>","410-766-7780","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","39.177776","-76.625740","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","190 Ferndale, MI","836 Livernois","Ferndale","MI","48220","US","<MISSING>","248-541-3053","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","42.453364","-83.142682","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","191 Lansing, MI,","5321 S. Pennsylvania","Lansing","MI","48910","US","<MISSING>","517-272-0669","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","42.680274","-84.537582","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","192 Springfield, MI","2980 6th Ave.","Springfield","MI","49037","US","<MISSING>","269-965-7268","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","42.315346","-85.233635","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","201 Hawthorne, CA","4823 W. Rosecrans","Hawthorne","CA","90250","US","<MISSING>","310-973-8111","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","33.901879","-118.362011","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","206 Vista, CA","1265 Distribution Way","Vista","CA","92081","US","<MISSING>","760-734-3800","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","33.150719","-117.234779","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","207 Bellflower, CA","9162 E. Rosecrans","Bellflower","CA","90706","US","<MISSING>","562-634-2853","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","33.903965","-118.13754","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","208 National City, CA","110 E. 16th St.","National City","CA","91950","US","<MISSING>","619-474-4651","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","32.669394","-117.102725","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","213 San Leandro, CA","1991 Burroughs Ave","San Leandro","CA","94577","US","<MISSING>","510-836-1364","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","37.698493","-122.166299","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","214 North Hollywood, Ca","6517 Lankershim Blvd.","North Hollywood","CA","91606","US","<MISSING>","818-769-4344","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","34.189151","-118.388198","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","216 Dublin, CA","6805 Sierra Court, Suite E","Dublin","CA","94568","US","<MISSING>","925-828-7780","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","37.710423","-121.914711","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","217 Montclair, CA","4809 Holt Ave.","Montclair","CA","91763","US","<MISSING>","909-624-1687","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","34.063125","-117.700425","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","219 Corona, CA","182 Granite St. #105","Corona","CA","92879","US","<MISSING>","951-736-9740","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","33.890219","-117.502213","Mon-Fri: 8:00am - 5:00pm Sat: 8:00am - 12:00pm"
"http://www.finishmaster.com","220 Cathedral City, CA","36-055 Cathedral Cyn.","Cathedral City","CA","92234","US","<MISSING>","760-328-1187","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","33.786157","-116.466855","Mon-Fri: 8:00am - 5:00pm Sat: 8:00am - 12:00pm"
"http://www.finishmaster.com","222 Concord, CA","2666 Willow Pass Rd.","Concord","CA","94519","US","<MISSING>","925-685-6500","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","37.97898","-122.028087","Mon-Fri: 8:00am - 5:00pm Sat: 8:00am - 12:00pm"
"http://www.finishmaster.com","223 Bakersfield, CA","2530 Chester Avenue","Bakersfield","CA","93301","US","<MISSING>","661-323-3008","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","35.382277","-119.018842","Mon-Fri: 8:00am - 5:00pm Sat: 8:00am - 12:00pm"
"http://www.finishmaster.com","224 Visalia, CA","716 E. Acequia","Visalia","CA","93292","US","<MISSING>","559-732-5675","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","36.329158","-119.285283","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","226 S. San Francisco, CA","6 So. Linden","S. San Francisco","CA","94080","US","<MISSING>","650-589-2848","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","37.652164","-122.411138","Mon-Fri: 8:00am - 5:00pm Sat: 8:00am - 12:00pm"
"http://www.finishmaster.com","228 San Rafael, CA","825-A West Francisco","San Rafael","CA","94901","US","<MISSING>","415-258-0988","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","37.961353","-122.510733","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","229 Modesto, CA","401 Bangs Avenue, Suite A","Modesto","CA","95356","US","<MISSING>","209-521-8626","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","37.618556","-120.985429","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
